Daily,Rainfall,Flood Event
1/1/2016 0:00,0.747634839,0
2/1/2016 0:00,0,0
3/1/2016 0:00,0,0
4/1/2016 0:00,0,0
5/1/2016 0:00,0,0
6/1/2016 0:00,0.5,0
7/1/2016 0:00,0,0
8/1/2016 0:00,0,0
9/1/2016 0:00,0,0
10/1/2016 0:00,0,0
11/1/2016 0:00,0,0
12/1/2016 0:00,0,0
13/1/2016 0:00,3.5,0
14/1/2016 0:00,22.5,0
15/1/2016 0:00,18,0
16/1/2016 0:00,4,0
17/1/2016 0:00,3.290808961,0
18/1/2016 0:00,1.709191039,0
19/1/2016 0:00,0,0
20/1/2016 0:00,13,0
21/1/2016 0:00,0,0
22/1/2016 0:00,4,0
23/1/2016 0:00,0.5,0
24/1/2016 0:00,0,0
25/1/2016 0:00,0,0
26/1/2016 0:00,0,0
27/1/2016 0:00,0,0
28/1/2016 0:00,3.940643087,0
29/1/2016 0:00,3.559356913,0
30/1/2016 0:00,0,0
31/1/2016 0:00,11.5,0
1/2/2016 0:00,0,0
2/2/2016 0:00,0,0
3/2/2016 0:00,0,0
4/2/2016 0:00,4.5,0
5/2/2016 0:00,4.185797242,0
6/2/2016 0:00,4.814202758,0
7/2/2016 0:00,0,0
8/2/2016 0:00,0,0
9/2/2016 0:00,0,0
10/2/2016 0:00,0,0
11/2/2016 0:00,0.5,0
12/2/2016 0:00,3,0
13/2/2016 0:00,1,0
14/2/2016 0:00,50,0
15/2/2016 0:00,27,0
16/2/2016 0:00,0,0
17/2/2016 0:00,0,0
18/2/2016 0:00,0,0
19/2/2016 0:00,0.5,0
20/2/2016 0:00,5.5,0
21/2/2016 0:00,0,0
22/2/2016 0:00,64.5,0
23/2/2016 0:00,0.5,0
24/2/2016 0:00,0,0
25/2/2016 0:00,0,0
26/2/2016 0:00,0,0
27/2/2016 0:00,20,0
28/2/2016 0:00,63,0
29/2/2016 0:00,0,0
1/3/2016 0:00,0,0
2/3/2016 0:00,0,0
3/3/2016 0:00,0,0
4/3/2016 0:00,108.5,0
5/3/2016 0:00,0,0
6/3/2016 0:00,0,0
7/3/2016 0:00,0.5,0
8/3/2016 0:00,1.5,0
9/3/2016 0:00,0,0
10/3/2016 0:00,8,0
11/3/2016 0:00,6.5,0
12/3/2016 0:00,9,0
13/3/2016 0:00,13.5,0
14/3/2016 0:00,14,0
15/3/2016 0:00,0,0
16/3/2016 0:00,0,0
17/3/2016 0:00,1,0
18/3/2016 0:00,0,0
19/3/2016 0:00,0.417936439,0
20/3/2016 0:00,3.082063561,0
21/3/2016 0:00,0,0
22/3/2016 0:00,1,0
23/3/2016 0:00,0,0
24/3/2016 0:00,10,0
25/3/2016 0:00,46,0
26/3/2016 0:00,0,0
27/3/2016 0:00,0,0
28/3/2016 0:00,0,0
29/3/2016 0:00,0,0
30/3/2016 0:00,0,0
31/3/2016 0:00,4,0
1/4/2016 0:00,0.454846963,0
2/4/2016 0:00,1.545153037,0
3/4/2016 0:00,0,0
4/4/2016 0:00,0,0
5/4/2016 0:00,4,0
6/4/2016 0:00,46,0
7/4/2016 0:00,0,0
8/4/2016 0:00,0,0
9/4/2016 0:00,0,0
10/4/2016 0:00,5.705537321,0
11/4/2016 0:00,0.294462679,0
12/4/2016 0:00,0,0
13/4/2016 0:00,0,0
14/4/2016 0:00,0,0
15/4/2016 0:00,0.458664458,0
16/4/2016 0:00,39.54133554,0
17/4/2016 0:00,1,0
18/4/2016 0:00,0,0
19/4/2016 0:00,0,0
20/4/2016 0:00,0,0
21/4/2016 0:00,31.5,0
22/4/2016 0:00,0,0
23/4/2016 0:00,11.99912567,0
24/4/2016 0:00,10.50087433,0
25/4/2016 0:00,14.5,0
26/4/2016 0:00,29,0
27/4/2016 0:00,0.5,0
28/4/2016 0:00,29,0
29/4/2016 0:00,12,0
30/4/2016 0:00,17,0
1/5/2016 0:00,4,0
2/5/2016 0:00,36.5,0
3/5/2016 0:00,0,0
4/5/2016 0:00,2.5,0
5/5/2016 0:00,6.703829197,0
6/5/2016 0:00,14.7961708,0
7/5/2016 0:00,43,0
8/5/2016 0:00,5.5,0
9/5/2016 0:00,0,0
10/5/2016 0:00,12.42135767,0
11/5/2016 0:00,10.57864233,0
12/5/2016 0:00,68.25636267,0
13/5/2016 0:00,2.382324928,0
14/5/2016 0:00,22.42278781,0
15/5/2016 0:00,8.93852459,0
16/5/2016 0:00,0,0
17/5/2016 0:00,54.11664336,0
18/5/2016 0:00,36.38335664,0
19/5/2016 0:00,0,0
20/5/2016 0:00,0.379801923,0
21/5/2016 0:00,14.12019808,0
22/5/2016 0:00,0,0
23/5/2016 0:00,0,0
24/5/2016 0:00,0,0
25/5/2016 0:00,25,0
26/5/2016 0:00,0,0
27/5/2016 0:00,0.45926422,0
28/5/2016 0:00,0.54073578,0
29/5/2016 0:00,14.5,0
30/5/2016 0:00,0.491853674,0
31/5/2016 0:00,13.00814633,0
1/6/2016 0:00,0.5,0
2/6/2016 0:00,20,0
3/6/2016 0:00,66,0
4/6/2016 0:00,1.5,0
5/6/2016 0:00,0,0
6/6/2016 0:00,0,0
7/6/2016 0:00,0.363035888,0
8/6/2016 0:00,0.636964112,0
9/6/2016 0:00,4,0
10/6/2016 0:00,0,0
11/6/2016 0:00,29,0
12/6/2016 0:00,32,0
13/6/2016 0:00,0,0
14/6/2016 0:00,20,0
15/6/2016 0:00,10,0
16/6/2016 0:00,6.375009317,0
17/6/2016 0:00,56.12499068,0
18/6/2016 0:00,0,0
19/6/2016 0:00,66.5,0
20/6/2016 0:00,0,0
21/6/2016 0:00,0,0
22/6/2016 0:00,0,0
23/6/2016 0:00,0,0
24/6/2016 0:00,0,0
25/6/2016 0:00,0,0
26/6/2016 0:00,0,0
27/6/2016 0:00,0,0
28/6/2016 0:00,0,0
29/6/2016 0:00,0,0
30/6/2016 0:00,0,0
1/7/2016 0:00,0,0
2/7/2016 0:00,0,0
3/7/2016 0:00,0,0
4/7/2016 0:00,0,0
5/7/2016 0:00,0.377789146,0
6/7/2016 0:00,0.122210854,0
7/7/2016 0:00,0.453108038,0
8/7/2016 0:00,7.046891962,0
9/7/2016 0:00,3,0
10/7/2016 0:00,0,0
11/7/2016 0:00,0,0
12/7/2016 0:00,8.5,0
13/7/2016 0:00,23.5,0
14/7/2016 0:00,1.309737309,0
15/7/2016 0:00,1.499470308,0
16/7/2016 0:00,0.690792382,0
17/7/2016 0:00,1.5,0
18/7/2016 0:00,0.5,0
19/7/2016 0:00,0,0
20/7/2016 0:00,0,0
21/7/2016 0:00,0.5,0
22/7/2016 0:00,1.5,0
23/7/2016 0:00,2.243972829,0
24/7/2016 0:00,23.25602717,0
25/7/2016 0:00,2.971094036,0
26/7/2016 0:00,4.008329508,0
27/7/2016 0:00,0.020576456,0
28/7/2016 0:00,0,0
29/7/2016 0:00,0,0
30/7/2016 0:00,0,0
31/7/2016 0:00,0,0
1/8/2016 0:00,0,0
2/8/2016 0:00,0,0
3/8/2016 0:00,0,0
4/8/2016 0:00,0,0
5/8/2016 0:00,0,0
6/8/2016 0:00,0,0
7/8/2016 0:00,0,0
8/8/2016 0:00,0,0
9/8/2016 0:00,2.5,0
10/8/2016 0:00,0.5,0
11/8/2016 0:00,4.5,0
12/8/2016 0:00,0.5,0
13/8/2016 0:00,0,0
14/8/2016 0:00,0,0
15/8/2016 0:00,0,0
16/8/2016 0:00,0,0
17/8/2016 0:00,0.345178882,0
18/8/2016 0:00,1.654821118,0
19/8/2016 0:00,0,0
20/8/2016 0:00,0,0
21/8/2016 0:00,0.390328527,0
22/8/2016 0:00,6.109671473,0
23/8/2016 0:00,11.5,0
24/8/2016 0:00,0,0
25/8/2016 0:00,0,0
26/8/2016 0:00,0,0
27/8/2016 0:00,0,0
28/8/2016 0:00,0,0
29/8/2016 0:00,0.33804404,0
30/8/2016 0:00,65.66195596,0
31/8/2016 0:00,13,0
1/9/2016 0:00,16.60916697,0
2/9/2016 0:00,0.890833028,0
3/9/2016 0:00,13.7262539,0
4/9/2016 0:00,0.7737461,0
5/9/2016 0:00,0,0
6/9/2016 0:00,0.404494382,0
7/9/2016 0:00,52.09550562,0
8/9/2016 0:00,10.82133088,0
9/9/2016 0:00,8.678669124,0
10/9/2016 0:00,0,0
11/9/2016 0:00,0,0
12/9/2016 0:00,2.5,0
13/9/2016 0:00,0.460343339,0
14/9/2016 0:00,1.539656661,0
15/9/2016 0:00,0.365556458,0
16/9/2016 0:00,76.63444354,1
17/9/2016 0:00,0,0
18/9/2016 0:00,0,0
19/9/2016 0:00,0,0
20/9/2016 0:00,0,0
21/9/2016 0:00,0,0
22/9/2016 0:00,0,0
23/9/2016 0:00,0,0
24/9/2016 0:00,0,0
25/9/2016 0:00,0,0
26/9/2016 0:00,0,0
27/9/2016 0:00,15,0
28/9/2016 0:00,0.436105937,0
29/9/2016 0:00,17.06389406,0
30/9/2016 0:00,0,0
1/10/2016 0:00,0.5,0
2/10/2016 0:00,0,0
3/10/2016 0:00,0,0
4/10/2016 0:00,0,0
5/10/2016 0:00,0,0
6/10/2016 0:00,0.354017111,0
7/10/2016 0:00,8.641477807,0
8/10/2016 0:00,1.004505082,0
9/10/2016 0:00,0,0
10/10/2016 0:00,0,0
11/10/2016 0:00,0,0
12/10/2016 0:00,5,0
13/10/2016 0:00,6.5,0
14/10/2016 0:00,0,0
15/10/2016 0:00,0,0
16/10/2016 0:00,17.07902473,0
17/10/2016 0:00,0.420975272,0
18/10/2016 0:00,1.5,0
19/10/2016 0:00,0.5,0
20/10/2016 0:00,0,0
21/10/2016 0:00,0,0
22/10/2016 0:00,0,0
23/10/2016 0:00,2.226415316,0
24/10/2016 0:00,10.77358468,0
25/10/2016 0:00,20.90785344,0
26/10/2016 0:00,1.468420407,0
27/10/2016 0:00,2.123726156,0
28/10/2016 0:00,25.5,0
29/10/2016 0:00,56.42311981,0
30/10/2016 0:00,3.046951406,0
31/10/2016 0:00,1.53359179,0
1/11/2016 0:00,3.996336996,0
2/11/2016 0:00,0.420966469,0
3/11/2016 0:00,1.579033531,0
4/11/2016 0:00,1,0
5/11/2016 0:00,0,0
6/11/2016 0:00,0,0
7/11/2016 0:00,15.5,0
8/11/2016 0:00,1.5,0
9/11/2016 0:00,0,0
10/11/2016 0:00,14.5,0
11/11/2016 0:00,14,0
12/11/2016 0:00,13.5,0
13/11/2016 0:00,13,0
14/11/2016 0:00,0,0
15/11/2016 0:00,0.382160534,0
16/11/2016 0:00,0.49130282,0
17/11/2016 0:00,53.12653665,0
18/11/2016 0:00,43.64131579,0
19/11/2016 0:00,0.358684211,0
20/11/2016 0:00,0,0
21/11/2016 0:00,2.5,0
22/11/2016 0:00,0,0
23/11/2016 0:00,2.5,0
24/11/2016 0:00,20,0
25/11/2016 0:00,21.5,0
26/11/2016 0:00,7.747420988,0
27/11/2016 0:00,15.75257901,0
28/11/2016 0:00,5.255813953,0
29/11/2016 0:00,23.24418605,0
30/11/2016 0:00,0,0
1/12/2016 0:00,29.99596279,0
2/12/2016 0:00,16.57360696,0
3/12/2016 0:00,33.43043026,0
4/12/2016 0:00,0.491023477,0
5/12/2016 0:00,2.508976523,0
6/12/2016 0:00,0,0
7/12/2016 0:00,0,0
8/12/2016 0:00,2.305049317,0
9/12/2016 0:00,2.694950683,0
10/12/2016 0:00,1.5,0
11/12/2016 0:00,7.121806704,0
12/12/2016 0:00,4.878193296,0
13/12/2016 0:00,5.437690836,0
14/12/2016 0:00,12.06230916,0
15/12/2016 0:00,0,0
16/12/2016 0:00,0,0
17/12/2016 0:00,45.31193049,0
18/12/2016 0:00,10.55608899,0
19/12/2016 0:00,11.26859331,0
20/12/2016 0:00,10.36338721,0
21/12/2016 0:00,0,0
22/12/2016 0:00,8.5,0
23/12/2016 0:00,15,0
24/12/2016 0:00,6,0
25/12/2016 0:00,8,0
26/12/2016 0:00,56.5,0
27/12/2016 0:00,14,0
28/12/2016 0:00,0,0
29/12/2016 0:00,0,0
30/12/2016 0:00,0,0
31/12/2016 0:00,32.5,0
1/1/2017 0:00,0.5,0
2/1/2017 0:00,1.5,0
3/1/2017 0:00,19.77899106,0
4/1/2017 0:00,2.72100894,0
5/1/2017 0:00,0,0
6/1/2017 0:00,0,0
7/1/2017 0:00,0,0
8/1/2017 0:00,0,0
9/1/2017 0:00,0,0
10/1/2017 0:00,0,0
11/1/2017 0:00,0,0
12/1/2017 0:00,0,0
13/1/2017 0:00,0.466170282,0
14/1/2017 0:00,0.522313045,0
15/1/2017 0:00,12.80629003,0
16/1/2017 0:00,25.70522664,0
17/1/2017 0:00,7,0
18/1/2017 0:00,0.5,0
19/1/2017 0:00,25,0
20/1/2017 0:00,25.33934592,0
21/1/2017 0:00,0.16065408,0
22/1/2017 0:00,0.5,0
23/1/2017 0:00,53.14564326,0
24/1/2017 0:00,22.09222232,0
25/1/2017 0:00,20.76213441,0
26/1/2017 0:00,18,0
27/1/2017 0:00,11.5,0
28/1/2017 0:00,17,0
29/1/2017 0:00,0,0
30/1/2017 0:00,9.009913259,0
31/1/2017 0:00,6.990086741,0
1/2/2017 0:00,1,0
2/2/2017 0:00,0,0
3/2/2017 0:00,0,0
4/2/2017 0:00,0,0
5/2/2017 0:00,0,0
6/2/2017 0:00,0,0
7/2/2017 0:00,0,0
8/2/2017 0:00,0,0
9/2/2017 0:00,0,0
10/2/2017 0:00,17.5,0
11/2/2017 0:00,0.5,0
12/2/2017 0:00,0,0
13/2/2017 0:00,0,0
14/2/2017 0:00,0,0
15/2/2017 0:00,0,0
16/2/2017 0:00,0,0
17/2/2017 0:00,0,0
18/2/2017 0:00,0,0
19/2/2017 0:00,1,0
20/2/2017 0:00,2,0
21/2/2017 0:00,0.458335986,0
22/2/2017 0:00,99.53684119,0
23/2/2017 0:00,25.23330643,0
24/2/2017 0:00,69.27151639,0
25/2/2017 0:00,41.5328849,0
26/2/2017 0:00,18.66271698,0
27/2/2017 0:00,33.80439812,0
28/2/2017 0:00,3,0
1/3/2017 0:00,1.5,0
2/3/2017 0:00,1,0
