Daily,Rainfall,Flood Event,
1/1/2016 0:00,0.71978217,0,
2/1/2016 0:00,0,0,
3/1/2016 0:00,0,0,
4/1/2016 0:00,0,0,
5/1/2016 0:00,2,0,
6/1/2016 0:00,0,0,
7/1/2016 0:00,0,0,
8/1/2016 0:00,0,0,
9/1/2016 0:00,0,0,
10/1/2016 0:00,0,0,
11/1/2016 0:00,1.5,0,
12/1/2016 0:00,0,0,
13/1/2016 0:00,0,0,
14/1/2016 0:00,9.173724937,0,
15/1/2016 0:00,7.826275063,0,
16/1/2016 0:00,0.5,0,
17/1/2016 0:00,0.5,0,
18/1/2016 0:00,0,0,
19/1/2016 0:00,1,0,
20/1/2016 0:00,1,0,
21/1/2016 0:00,0,0,
22/1/2016 0:00,1.5,0,
23/1/2016 0:00,0,0,
24/1/2016 0:00,0,0,
25/1/2016 0:00,0,0,
26/1/2016 0:00,0,0,
27/1/2016 0:00,0,0,
28/1/2016 0:00,10,0,
29/1/2016 0:00,3.5,0,
30/1/2016 0:00,0,0,
31/1/2016 0:00,7.5,0,
1/2/2016 0:00,0,0,
2/2/2016 0:00,0.629069373,0,
3/2/2016 0:00,2.370930627,0,
4/2/2016 0:00,4.678507782,0,
5/2/2016 0:00,5.504864976,0,
6/2/2016 0:00,3.316627242,0,
7/2/2016 0:00,0.5,0,
8/2/2016 0:00,0,0,
9/2/2016 0:00,0,0,
10/2/2016 0:00,0,0,
11/2/2016 0:00,18,0,
12/2/2016 0:00,1,0,
13/2/2016 0:00,0,0,
14/2/2016 0:00,4,0,
15/2/2016 0:00,29,0,
16/2/2016 0:00,0,0,
17/2/2016 0:00,0,0,
18/2/2016 0:00,0,0,
19/2/2016 0:00,0.5,0,
20/2/2016 0:00,0,0,
21/2/2016 0:00,0,0,
22/2/2016 0:00,24.5,0,
23/2/2016 0:00,0,0,
24/2/2016 0:00,0,0,
25/2/2016 0:00,0,0,
26/2/2016 0:00,0,0,
27/2/2016 0:00,0,0,
28/2/2016 0:00,11,0,
29/2/2016 0:00,0.467009356,0,
1/3/2016 0:00,0.032990644,0,
2/3/2016 0:00,0,0,
3/3/2016 0:00,0,0,
4/3/2016 0:00,61.5,0,
5/3/2016 0:00,2.5,0,
6/3/2016 0:00,0.5,0,
7/3/2016 0:00,0,0,
8/3/2016 0:00,0,0,
9/3/2016 0:00,0,0,
10/3/2016 0:00,0,0,
11/3/2016 0:00,6,0,
12/3/2016 0:00,0,0,
13/3/2016 0:00,6.5,0,
14/3/2016 0:00,12,0,
15/3/2016 0:00,25,0,
16/3/2016 0:00,0,0,
17/3/2016 0:00,3.5,0,
18/3/2016 0:00,0,0,
19/3/2016 0:00,0,0,
20/3/2016 0:00,1.5,0,
21/3/2016 0:00,0,0,
22/3/2016 0:00,5,0,
23/3/2016 0:00,0,0,
24/3/2016 0:00,8.5,0,
25/3/2016 0:00,46,0,
26/3/2016 0:00,0.5,0,
27/3/2016 0:00,0,0,
28/3/2016 0:00,0,0,
29/3/2016 0:00,0,0,
30/3/2016 0:00,0,0,
31/3/2016 0:00,0,0,
1/4/2016 0:00,0,0,
2/4/2016 0:00,2.5,0,
3/4/2016 0:00,0,0,
4/4/2016 0:00,3.5,0,
5/4/2016 0:00,0,0,
6/4/2016 0:00,27.5,0,
7/4/2016 0:00,2.5,0,
8/4/2016 0:00,0,0,
9/4/2016 0:00,0.5,0,
10/4/2016 0:00,0.369500789,0,
11/4/2016 0:00,7.630499211,0,
12/4/2016 0:00,0,0,
13/4/2016 0:00,0,0,
14/4/2016 0:00,0,0,
15/4/2016 0:00,0.5,0,
16/4/2016 0:00,35,0,
17/4/2016 0:00,5.5,0,
18/4/2016 0:00,0,0,
19/4/2016 0:00,0,0,
20/4/2016 0:00,0,0,
21/4/2016 0:00,3.5,0,
22/4/2016 0:00,0,0,
23/4/2016 0:00,2.936176221,0,
24/4/2016 0:00,18.56382378,0,
25/4/2016 0:00,12.5,0,
26/4/2016 0:00,16,0,
27/4/2016 0:00,0,0,
28/4/2016 0:00,0,0,
29/4/2016 0:00,5.5,0,
30/4/2016 0:00,30.5,0,
1/5/2016 0:00,21,0,
2/5/2016 0:00,15,0,
3/5/2016 0:00,46.5,0,
4/5/2016 0:00,10.5,0,
5/5/2016 0:00,14.18592651,0,
6/5/2016 0:00,44.81407349,0,
7/5/2016 0:00,20,0,
8/5/2016 0:00,1.5,0,
9/5/2016 0:00,5.5,0,
10/5/2016 0:00,14.40773311,0,
11/5/2016 0:00,20.09226689,0,
12/5/2016 0:00,43.34369679,0,
13/5/2016 0:00,5.156303212,0,
14/5/2016 0:00,10.75736739,0,
15/5/2016 0:00,6.242632613,0,
16/5/2016 0:00,0,0,
17/5/2016 0:00,24.59181588,0,
18/5/2016 0:00,97.40818412,0,
19/5/2016 0:00,0,0,
20/5/2016 0:00,0.378374828,0,
21/5/2016 0:00,8.621625172,0,
22/5/2016 0:00,0,0,
23/5/2016 0:00,0,0,
24/5/2016 0:00,0,0,
25/5/2016 0:00,1.5,0,
26/5/2016 0:00,0,0,
27/5/2016 0:00,1.442777674,0,
28/5/2016 0:00,3.557222326,0,
29/5/2016 0:00,26.5,0,
30/5/2016 0:00,0.486667343,0,
31/5/2016 0:00,8.013332657,0,
1/6/2016 0:00,0,0,
2/6/2016 0:00,32.5,0,
